State,Year,Degree,Count
Colorado,2017,Undergraduate,47
Colorado,2017,Professional,67
Colorado,2017,Graduate,5
Colorado,2016,Undergraduate,52
Colorado,2016,Professional,33
Colorado,2016,Graduate,3
Colorado,2015,Undergraduate,52
Colorado,2015,Professional,33
Colorado,2015,Graduate,0
Colorado,2014,Undergraduate,51
Colorado,2014,Professional,27
Colorado,2014,Graduate,2
Colorado,2013,Undergraduate,47
Colorado,2013,Professional,16
Colorado,2013,Graduate,6
Colorado,2012,Undergraduate,41
Colorado,2012,Professional,16
Colorado,2012,Graduate,6
Colorado,2011,Undergraduate,28
Colorado,2011,Professional,15
Colorado,2011,Graduate,10
Colorado,2010,Undergraduate,23
Colorado,2010,Professional,20
Colorado,2010,Graduate,6
Colorado,2009,Undergraduate,23
Colorado,2009,Professional,20
Colorado,2009,Graduate,6
Colorado,2008,Undergraduate,20
Colorado,2008,Professional,15
Colorado,2008,Graduate,4
Colorado,2007,Undergraduate,20
Colorado,2007,Professional,14
Colorado,2007,Graduate,1
Colorado,2006,Undergraduate,27
Colorado,2006,Professional,15
Colorado,2006,Graduate,1
Colorado,2005,Undergraduate,30
Colorado,2005,Professional,17
Colorado,2005,Graduate,2
Colorado,2004,Undergraduate,30
Colorado,2004,Professional,12
Colorado,2004,Graduate,3
Colorado,2003,Undergraduate,35
Colorado,2003,Professional,36
Colorado,2003,Graduate,8
Colorado,2002,Undergraduate,39
Colorado,2002,Professional,42
Colorado,2002,Graduate,7
Colorado,2001,Undergraduate,30
Colorado,2001,Professional,42
Colorado,2001,Graduate,7
Colorado,2000,Undergraduate,31
Colorado,2000,Professional,45
Colorado,2000,Graduate,5
Colorado,1999,Undergraduate,33
Colorado,1999,Professional,46
Colorado,1999,Graduate,3
Colorado,1998,Undergraduate,26
Colorado,1998,Professional,41
Colorado,1998,Graduate,2
Colorado,1997,Undergraduate,33
Colorado,1997,Professional,1
Colorado,1997,Graduate,37
Colorado,1996,Undergraduate,31
Colorado,1996,Professional,2
Colorado,1996,Graduate,30
Colorado,1995,Undergraduate,33
Colorado,1995,Professional,0
Colorado,1995,Graduate,25
Colorado,1994,Undergraduate,34
Colorado,1994,Professional,0
Colorado,1994,Graduate,22
Colorado,1993,Undergraduate,32
Colorado,1993,Professional,0
Colorado,1993,Graduate,24
Colorado,1992,Undergraduate,28
Colorado,1992,Professional,0
Colorado,1992,Graduate,26
Colorado,1991,Undergraduate,27
Colorado,1991,Professional,0
Colorado,1991,Graduate,21
Colorado,1990,Undergraduate,22
Colorado,1990,Professional,0
Colorado,1990,Graduate,17
Colorado,1989,Undergraduate,9
Colorado,1989,Professional,0
Colorado,1989,Graduate,21
Colorado,1988,Undergraduate,14
Colorado,1988,Professional,1
Colorado,1988,Graduate,20
Colorado,1987,Undergraduate,15
Colorado,1987,Professional,0
Colorado,1987,Graduate,29
Colorado,1986,Undergraduate,11
Colorado,1986,Professional,1
Colorado,1986,Graduate,23
Colorado,1985,Undergraduate,11
Colorado,1985,Professional,1
Colorado,1985,Graduate,18
Colorado,1984,Undergraduate,10
Colorado,1984,Professional,0
Colorado,1984,Graduate,31
Colorado,1983,Undergraduate,10
Colorado,1983,Professional,1
Colorado,1983,Graduate,21
Colorado,1982,Undergraduate,10
Colorado,1982,Professional,1
Colorado,1982,Graduate,16
Colorado,1981,Undergraduate,13
Colorado,1981,Professional,0
Colorado,1981,Graduate,12
Colorado,1980,Undergraduate,7
Colorado,1980,Professional,1
Colorado,1980,Graduate,1
Colorado,1979,Undergraduate,8
Colorado,1979,Professional,0
Colorado,1979,Graduate,16
Colorado,1978,Undergraduate,2
Colorado,1978,Professional,0
Colorado,1978,Graduate,10
Colorado,1977,Undergraduate,5
Colorado,1977,Professional,0
Colorado,1977,Graduate,12
Colorado,1976,Undergraduate,4
Colorado,1976,Professional,0
Colorado,1976,Graduate,14
Colorado,1975,Undergraduate,3
Colorado,1975,Professional,2
Colorado,1975,Graduate,21
Connecticut,2017,Undergraduate,40
Connecticut,2017,Professional,39
Connecticut,2017,Graduate,6
Connecticut,2016,Undergraduate,43
Connecticut,2016,Professional,21
Connecticut,2016,Graduate,4
Connecticut,2015,Undergraduate,40
Connecticut,2015,Professional,22
Connecticut,2015,Graduate,3
Connecticut,2014,Undergraduate,34
Connecticut,2014,Professional,19
Connecticut,2014,Graduate,3
Connecticut,2013,Undergraduate,39
Connecticut,2013,Professional,20
Connecticut,2013,Graduate,4
Connecticut,2012,Undergraduate,31
Connecticut,2012,Professional,17
Connecticut,2012,Graduate,4
Connecticut,2011,Undergraduate,35
Connecticut,2011,Professional,24
Connecticut,2011,Graduate,5
Connecticut,2010,Undergraduate,32
Connecticut,2010,Professional,21
Connecticut,2010,Graduate,3
Connecticut,2009,Undergraduate,32
Connecticut,2009,Professional,21
Connecticut,2009,Graduate,3
Connecticut,2008,Undergraduate,28
Connecticut,2008,Professional,17
Connecticut,2008,Graduate,4
Connecticut,2007,Undergraduate,21
Connecticut,2007,Professional,13
Connecticut,2007,Graduate,3
Connecticut,2006,Undergraduate,22
Connecticut,2006,Professional,13
Connecticut,2006,Graduate,4
Connecticut,2005,Undergraduate,24
Connecticut,2005,Professional,12
Connecticut,2005,Graduate,3
Connecticut,2004,Undergraduate,18
Connecticut,2004,Professional,9
Connecticut,2004,Graduate,4
Connecticut,2003,Undergraduate,34
Connecticut,2003,Professional,34
Connecticut,2003,Graduate,7
Connecticut,2002,Undergraduate,32
Connecticut,2002,Professional,26
Connecticut,2002,Graduate,7
Connecticut,2001,Undergraduate,29
Connecticut,2001,Professional,21
Connecticut,2001,Graduate,6
Connecticut,2000,Undergraduate,35
Connecticut,2000,Professional,24
Connecticut,2000,Graduate,6
Connecticut,1999,Undergraduate,27
Connecticut,1999,Professional,24
Connecticut,1999,Graduate,3
Connecticut,1998,Undergraduate,30
Connecticut,1998,Professional,25
Connecticut,1998,Graduate,3
Connecticut,1997,Undergraduate,32
Connecticut,1997,Professional,2
Connecticut,1997,Graduate,29
Connecticut,1996,Undergraduate,30
Connecticut,1996,Professional,1
Connecticut,1996,Graduate,29
Connecticut,1995,Undergraduate,33
Connecticut,1995,Professional,0
Connecticut,1995,Graduate,24
Connecticut,1994,Undergraduate,27
Connecticut,1994,Professional,0
Connecticut,1994,Graduate,16
Connecticut,1993,Undergraduate,32
Connecticut,1993,Professional,1
Connecticut,1993,Graduate,20
Connecticut,1992,Undergraduate,29
Connecticut,1992,Professional,1
Connecticut,1992,Graduate,20
Connecticut,1991,Undergraduate,29
Connecticut,1991,Professional,3
Connecticut,1991,Graduate,19
Connecticut,1990,Undergraduate,33
Connecticut,1990,Professional,2
Connecticut,1990,Graduate,14
Connecticut,1989,Undergraduate,31
Connecticut,1989,Professional,2
Connecticut,1989,Graduate,13
Connecticut,1988,Undergraduate,28
Connecticut,1988,Professional,1
Connecticut,1988,Graduate,6
Connecticut,1987,Undergraduate,25
Connecticut,1987,Professional,3
Connecticut,1987,Graduate,9
Connecticut,1986,Undergraduate,19
Connecticut,1986,Professional,3
Connecticut,1986,Graduate,18
Connecticut,1985,Undergraduate,15
Connecticut,1985,Professional,2
Connecticut,1985,Graduate,22
Connecticut,1984,Undergraduate,11
Connecticut,1984,Professional,1
Connecticut,1984,Graduate,23
Connecticut,1983,Undergraduate,9
Connecticut,1983,Professional,2
Connecticut,1983,Graduate,23
Connecticut,1982,Undergraduate,10
Connecticut,1982,Professional,0
Connecticut,1982,Graduate,31
Connecticut,1981,Undergraduate,15
Connecticut,1981,Professional,1
Connecticut,1981,Graduate,28
Connecticut,1980,Undergraduate,18
Connecticut,1980,Professional,2
Connecticut,1980,Graduate,29
Connecticut,1979,Undergraduate,19
Connecticut,1979,Professional,1
Connecticut,1979,Graduate,23
Connecticut,1978,Undergraduate,20
Connecticut,1978,Professional,1
Connecticut,1978,Graduate,20
